student_id,department,cgpa,project_score,dsa_score,hackathon_wins,aptitude_score,hr_score,resume_ats_score,cs_fundamentals_score,placement_status,company_name,company_type,job_role,salary_lpa
12503314,CSE/IT,9.63,91.0,91.0,2,54.84,62.98,60.35,85.98,Placed,Oracle,Product,SDE,50.44
12502571,CSE/IT,9.73,78.22,91.0,0,58.7,62.65,63.7,74.33,Placed,Netflix,Product,SDE,52.49
12500612,CSE/IT,9.9,91.0,81.24,0,56.72,55.98,62.57,72.38,Placed,LinkedIn,Product,Core Engineer,50.71
12500125,CSE/IT,9.79,81.8,91.0,1,67.93,72.64,42.37,67.42,Placed,Uber,Product,SDE,51.71
12500526,CSE/IT,9.9,65.91,91.0,5,68.21,51.9,55.81,83.42,Placed,Adobe,Product,SDE,51.77
12501398,CSE/IT,9.45,72.6,91.0,1,75.66,50.08,57.73,76.65,Placed,Twitter(X),Product,Core Engineer,46.44
12500757,CSE/IT,9.12,79.87,84.43,0,71.61,67.44,46.22,82.75,Placed,Adobe,Product,Core Engineer,51.39
12501444,CSE/IT,9.12,89.64,70.87,0,58.32,63.68,63.64,90.79,Placed,Walmart Global Tech,Product,Core Engineer,51.02
12500326,CSE/IT,9.9,76.24,74.38,0,77.14,29.55,60.05,80.83,Placed,Uber,Product,Core Engineer,53.3
12502769,CSE/IT,8.99,79.84,80.74,1,68.65,50.61,56.88,84.26,Placed,Flipkart,Product,Core Engineer,48.24
12501584,CSE/IT,9.7,79.54,91.0,0,36.77,39.27,46.77,73.36,Placed,Razorpay,Product,SDE,53.18
12501849,CSE/IT,9.19,73.66,91.0,2,62.38,41.91,50.98,73.36,Placed,Atlassian,Product,SDE,48.54
12501466,CSE/IT,8.65,86.68,82.33,0,87.67,33.25,44.93,75.71,Placed,Amazon,Product,SDE,52.12
12503953,CSE/IT,9.48,61.71,81.24,0,83.97,58.52,45.66,88.67,Placed,Amazon,Product,Core Engineer,52.04
12501351,CSE/IT,9.2,71.64,91.0,0,70.06,48.09,49.44,66.18,Placed,Atlassian,Product,Core Engineer,47.09
