company_id,company_name,company_tier,avg_package_lpa,max_package_lpa,min_cgpa,allowed_departments,required_skills,max_backlogs,backlogs_allowed,hiring_roles_description,round1_name,round1_duration_min,round1_focus,round2_name,round2_duration_min,round2_focus,round3_name,round3_duration_min,round3_focus,round4_name,round4_duration_min,round4_focus,prep_dsa_topics,prep_system_design_topics,prep_oops_topics,prep_dbms_topics,prep_hr_topics
1,Amazon,Tier-1 Product,18.0,55,7.5,"CS, IT, AI, DS","DSA, System Design, OOPS, DBMS, Projects",0,false,"SDE roles, strong DSA & system design required",Online Assessment,90,DSA,Technical Interview 1,45,"DSA,OOPS",Technical Interview 2,45,"System Design,DBMS",HR Round,30,HR,"Arrays,Strings,Trees,Graphs,DP","HLD,LLD,Scalability",OOPS Concepts,"Indexes,Transactions",Behavioral
2,Google,Tier-1 Product,22.0,55,8.0,"CS, IT, AI, DS","DSA, Algorithms, System Design, OS, DBMS",0,false,Top-tier coding & problem solving skills,Online Assessment,90,DSA,Technical Interview 1,45,"DSA,OOPS",Technical Interview 2,45,"System Design,DBMS",HR Round,30,HR,"Arrays,Graphs,Trees,DP",Distributed Systems,OOPS,"Normalization,SQL",Googliness
3,Microsoft,Tier-1 Product,16.0,50,7.0,"CS, IT, AI, DS","DSA, OOPS, System Design, Projects",0,false,Strong coding and design skills,Online Test,90,DSA,Technical Interview,60,"DSA,System Design",HR Round,30,HR,,,,"Arrays,Trees,Graphs",System Design,OOPS,DBMS,HR
4,Flipkart,Tier-1 Product,14.0,45,7.0,"CS, IT","DSA, Backend, APIs, Projects",0,false,Backend and system design focused,Online Test,90,DSA,Technical Interview,60,"Backend,DSA",HR Round,30,HR,,,,"Arrays,Hashing","APIs,Scalability",OOPS,SQL,HR
5,Walmart Global Tech,Tier-1 Product,15.0,48,7.2,"CS, IT","DSA, System Design, Databases",0,false,Product engineering roles,Online Assessment,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,DSA Basics,System Design,OOPS,DBMS,HR
6,Adobe,Tier-1 Product,13.0,42,7.0,"CS, IT","DSA, OOPS, C++, Java",0,false,Software engineering roles,Online Test,90,DSA,Technical Interview,60,"OOPS,DSA",HR Round,30,HR,,,,"Arrays,Strings",Design Patterns,OOPS,DBMS,HR
7,Atlassian,Tier-1 Product,17.0,50,7.5,"CS, IT","DSA, System Design, Cloud",0,false,High-end product engineering,Online Assessment,90,DSA,Technical Interview,60,"System Design,DSA",HR Round,30,HR,,,,"Graphs,DP",Distributed Systems,OOPS,DBMS,HR
8,Oracle,Tier-1 Product,12.0,38,6.8,"CS, IT","DSA, Databases, Java",0,false,Database and backend roles,Online Test,90,DSA,Technical Interview,60,"DBMS,Java",HR Round,30,HR,,,,Arrays,Database Design,OOPS,SQL,HR
9,Paytm,Tier-1 Product,10.0,35,6.5,"CS, IT","DSA, APIs, Backend, Projects",0,false,Fintech engineering roles,Online Assessment,90,DSA,Technical Interview,60,"Backend,APIs",HR Round,30,HR,,,,DSA,Backend Systems,OOPS,DBMS,HR
10,Zomato,Tier-1 Product,9.0,32,6.5,"CS, IT","DSA, Backend, System Design",0,false,Tech product roles,Online Test,90,DSA,Technical Interview,60,System Design,HR Round,30,HR,,,,DSA,Scalability,OOPS,DBMS,HR
11,IBM,Tier-2 Hybrid,7.5,20,6.0,"CS, IT, ECE","DSA, DBMS, OS, OOPS",1,true,Software and consulting roles,Online Test,90,"Aptitude,DSA",Technical Interview,45,"OOPS,DBMS",HR Round,30,HR,,,,"Arrays,Basics",System Basics,OOPS,DBMS,HR
12,Accenture,Tier-2 Hybrid,6.5,18,6.0,"CS, IT, ECE","Aptitude, DSA, Communication",1,true,Tech + consulting roles,Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,OOPS",HR Round,30,HR,,,,Basic DSA,NA,OOPS Basics,NA,HR
13,Cognizant,Tier-2 Hybrid,6.0,16,6.0,"CS, IT, ECE","Aptitude, Basic Coding, DBMS",1,true,Service + development roles,Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,DBMS",HR Round,30,HR,,,,Basic Arrays,NA,OOPS Basics,DBMS,HR
14,Capgemini,Tier-2 Hybrid,5.8,15,6.0,"CS, IT, ECE","Aptitude, OOPS, SQL",1,true,Service and support roles,Aptitude Test,90,Aptitude,Technical Interview,45,"OOPS,SQL",HR Round,30,HR,,,,Basic DSA,NA,OOPS,SQL,HR
15,Persistent Systems,Tier-2 Hybrid,8.0,22,6.5,"CS, IT","DSA, Projects, Backend",0,false,Product + service engineering roles,Online Test,90,DSA,Technical Interview,60,"Backend,DSA",HR Round,30,HR,,,,"Arrays,Projects",Backend Design,OOPS,DBMS,HR
16,TCS,Tier-3 Service,4.5,10,5.5,"CS, IT, ECE, EE","Aptitude, Basic Coding, Communication",2,true,"Mass hiring, service roles",Aptitude Test,90,Aptitude,Technical Interview,45,"Basics,OOPS",HR Round,30,HR,,,,Basic Arrays,NA,OOPS Basics,NA,HR
17,Infosys,Tier-3 Service,4.8,12,5.5,"CS, IT, ECE, EE","Aptitude, DSA Basics, English",2,true,Service and support roles,Aptitude Test,90,Aptitude,Technical Interview,45,DSA Basics,HR Round,30,HR,,,,Basic DSA,NA,OOPS Basics,NA,HR
